                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9409,                 0.5528,                 0.9451,                 1.9992,             0.00023792,             0.00023792,             0.00023792
                      2,                 1.4799,                 0.6343,                 0.9656,                 1.9134,             0.00042881,             0.00042881,             0.00042881
                      3,                  1.352,                 0.6807,                 0.9735,                 1.8712,             0.00057257,             0.00057257,             0.00057257
                      4,                 1.2747,                 0.6999,                 0.9789,                 1.8565,             0.00050194,             0.00050194,             0.00050194
                      5,                 1.2059,                 0.7224,                 0.9786,                 1.8276,             0.00043126,             0.00043126,             0.00043126
                      6,                 1.1468,                 0.7389,                 0.9818,                 1.8168,             0.00036057,             0.00036057,             0.00036057
                      7,                 1.1133,                 0.7516,                 0.9832,                 1.8035,             0.00028988,             0.00028988,             0.00028988
                      8,                 1.0739,                 0.7549,                 0.9841,                 1.7941,              0.0002192,              0.0002192,              0.0002192
                      9,                 1.0442,                 0.7605,                 0.9854,                 1.7839,             0.00014851,             0.00014851,             0.00014851
                     10,                 1.0193,                  0.766,                 0.9862,                  1.783,             7.7826e-05,             7.7826e-05,             7.7826e-05
